name,RA,DEC,Period,T1,incl,inclerror,q,qerror,t2t1,t2t1error,f,ferror,l3,l3error,r1,r2,L2/L1,R2
TIC 117515123,339.8517167,-46.87560464,0.259502075,4886.75,78.33761248,3.299501818,2.132125547,0.275472889,0.981096149,0.003457907,0.563514282,0.018446342,0,0,0.359358213,0.488766413,1.739786447,0.998605825
TIC 55896456,68.63818066,-9.320752501,0.464436039,6662.700195,81.27324092,0.628563244,0.580366234,0.068190347,0.985195141,0.003889371,0.646892086,0.031950048,0,0,0.481702654,0.389022447,0.611352581,0.99941339
TIC 5674169,33.03655255,27.13839738,0.317981441,5874.25,85.34970442,0.68324205,0.204550829,0.001075584,1.021140439,0.001186524,0.40610741,0.018600735,0,0,0.5395385,0.273261964,0.270775159,0.997109767
TIC 219109908,271.3769557,69.75437428,0.423799692,5546.134765,82.99365001,0.202734496,0.199572435,0.000818562,1.011824825,0.000918161,0.441603244,0.011912261,0,0,0.543010279,0.273148033,0.257986543,0.999059328
TIC 140757590,74.281108,-72.131945,0.418483992,6189.466797,88.29827506,2.064762703,0.194329668,0.002318086,1.006603469,0.00140717,0.622835071,0.023278104,0,0,0.553280096,0.280707341,0.254787788,0.998500766
TIC 193823999,268.8993431,43.80559676,0.369770861,6591.666504,85.90253583,0.950574475,0.221879932,0.001458947,1.013665648,0.001602833,0.239021753,0.019855384,0,0,0.525411637,0.270752817,0.274073732,0.999297723
TIC 197933923,59.39157147,-54.35738239,0.49056889,6559.666504,79.29644677,0.72019625,0.482981718,0.060103023,0.984931768,0.003521401,0.664376925,0.033872355,0,0,0.494929729,0.371213389,0.524885968,0.999215001
TIC 75067322,266.4430837,-58.39472723,0.349153615,5670,80.98991321,0.514718703,0.235322887,0.002561962,1.024236147,0.002304158,0.379307653,0.030409889,0,0,0.527627829,0.283271076,0.307788064,0.998443405
TIC 121213501,287.3408867,38.32567437,0.473627339,6414,80.27400423,0.543205088,0.2261067,0.003176241,0.989713257,0.001933871,0.627788504,0.037008857,0,0,0.54313928,0.294338641,0.275369981,0.998803954
TIC 123038007,279.1171594,45.93977121,0.422731719,7136.5,87.50645137,1.514180266,0.149983856,0.001701867,0.996169266,0.001819571,0.639558752,0.031010155,0,0,0.571646538,0.259800987,0.198506146,0.998614867
TIC 71107089,66.7832301,-12.6465277,0.357858282,5807.5,82.02327077,0.711703312,4.409174646,0.126109849,0.920135007,0.00155976,0.737706239,0.029827492,0.156518801,0.015710978,0.30137627,0.548651594,2.54916896,0.997350212
TIC 198037139,61.45751032,-54.04346309,0.360045136,6661.666504,85.33703726,1.160426839,0.138667482,0.001470977,1.032302693,0.001982336,0.471669854,0.030738922,0,0,0.570749597,0.245946021,0.199401224,0.998311129
TIC 376939426,19.38514086,7.891689379,0.336475422,5881,76.27606084,0.244339717,1.226160527,0.291617995,0.987468782,0.004417905,0.281494908,0.013801074,0,0,0.387998187,0.423475347,1.148977465,0.996481585
TIC 97328396,31.65952117,14.25770426,0.485088842,5935.665527,89.36371903,0.79768073,0.289132967,0.001752716,1.005503542,0.000988276,0.517141587,0.011548645,0,0,0.519785893,0.309584023,0.351377892,0.998421311
TIC 1981434198,316.1215712,70.76451428,0.306251648,6529.333496,64.60343327,0.278896655,2.861222976,0.267348884,0.915366492,0.001894908,0.641713292,0.037676854,0,0,0.336352947,0.514426101,1.805875971,0.999146244
TIC 336561759,281.4433879,25.33316456,0.339182142,5362.333496,92.30903413,2.963414766,0.174119978,0.003701559,1.019808175,0.001760412,0.397758004,0.024808158,0,0,0.551235959,0.260016333,0.234823859,0.995153185
TIC 431338625,344.110857,52.131725,0.599800479,6511.75,93.33411533,0.46778545,0.502056928,0.003506372,1.024297369,0.000925881,0.710035459,0.008693609,0,0,0.496334599,0.379554229,0.61670713,0.99817936
TIC 176355865,122.0419587,-22.13183542,0.413352255,6021,69.68229024,0.13171498,4.076324571,0.051958058,0.903160609,0.001144514,0.976886789,0.005469696,0,0,0.326005066,0.557186682,2.12398446,0.987621824
TIC 333870949,309.339661,75.60045,0.278219067,5850,75.02330376,0.174166156,1.025623844,0.045532349,0.941560452,0.001219111,0.508123966,0.007970142,0,0,0.429392455,0.433734764,0.823594524,0.985274582
TIC 316769246,354.6261018,-35.37555337,0.347682918,5857,79.07079765,2.599943475,0.159497696,0.017158649,1.009731847,0.001015809,0.576551425,0.024089053,0,0,0.564913858,0.261759647,0.215551871,0.993576811
TIC 289166536,277.5686555,41.08567435,0.46897116,6467.75,86.21893369,0.725682403,0.244125434,0.001483041,1.006109813,0.001310627,0.435894127,0.020626093,0,0,0.527739844,0.28964034,0.300057413,0.996706763
TIC 120499528,285.4108286,39.04113958,0.369363329,5877.850097,75.24077677,1.522840512,0.972891351,0.207000685,0.970908192,0.004497378,0.244777559,0.007744919,0,0,0.405980025,0.401190001,0.882047582,0.995268728
TIC 53603189,103.1334276,-25.55842613,0.418588384,6415,82.43613752,0.179159391,0.133687937,0.000649447,1.054472043,0.000967274,0.666360728,0.011393937,0,0,0.580376286,0.251767964,0.214593757,0.998316568
TIC 399577123,342.4993738,-23.2732221,0.312039545,5452,82.94537864,0.313462373,0.143393321,0.000879862,1.034900345,0.001182026,0.405583369,0.01584145,0,0,0.565903676,0.245554695,0.208408974,0.992408799
TIC 318122518,307.6256862,-80.76646444,0.290684653,5802.495117,88.21136449,5.152320794,0.1652522,0.004191897,1.00492082,0.001898614,0.334584264,0.050700663,0,0,0.552592625,0.252969392,0.210759523,0.995409764
TIC 1981434196,316.1203013,70.76388644,0.306251648,5850,68.04127868,0.504975838,2.719588985,0.182928309,0.918495207,0.002334375,0.805126381,0.035849692,0.196481969,0.022478473,0.354720099,0.522687655,1.655518246,0.999174555
TIC 320268279,7.46965392,56.96680762,0.45093949,6505.666504,81.53027681,0.763935926,0.443157507,0.055451494,1.021037812,0.003772187,0.474606851,0.025843022,0,0,0.486000713,0.346453445,0.534209757,0.997987002
TIC 270215222,262.0138366,43.68997613,0.415220204,6810.75,71.99723641,0.244573315,0.830679217,0.092589834,0.988559084,0.00189913,0.296985439,0.015941257,0,0,0.423514534,0.391257452,0.821414468,0.995901637
TIC 56001210,69.7155277,-9.532366201,0.378697765,6177.666504,86.28684529,0.482352432,0.218674032,0.001294826,1.02246832,0.001263584,0.332016685,0.012910125,0,0,0.530966269,0.274650034,0.283503882,0.997084056
TIC 174157888,351.7778556,45.55611624,0.380383437,5671.555175,81.50647272,0.170828879,0.325016252,0.001609474,0.997565431,0.000714617,0.260574898,0.009425896,0.008840462,0.001000865,0.495727804,0.303032741,0.366713714,0.999385873
TIC 235000061,351.065056,-62.368523,0.357721231,5850,76.81911578,0.244324425,2.648163751,0.072440456,0.963438416,0.000813642,0.318690873,0.006794903,0,0,0.319953178,0.487329422,2.065418133,0.995164569
TIC 458490358,240.0604462,35.20880118,0.38072601,6529.333496,77.9148356,0.22722851,0.169168334,0.000974078,1.01952736,0.001343642,0.620812034,0.017875241,0,0,0.562692572,0.268811012,0.235061091,0.997055642
TIC 164720673,25.72832355,-20.12448845,0.366017422,6294.222656,77.51097903,0.208574952,0.116889098,0.000976322,1.046514545,0.001197029,0.604776614,0.022429595,0,0,0.587224235,0.238683984,0.184910836,0.998198958
TIC 271594955,108.477501,-72.390526,0.411732338,5793.333496,69.29354902,1.01298737,0.332192604,0.064938146,0.986912007,0.005717897,0.455147469,0.062508801,0,0,0.505877231,0.318017279,0.369543897,0.994830815
TIC 274676647,256.2877704,49.20885496,0.354097735,6338.666504,85.7793122,0.55496015,0.294726155,0.002017862,1.02705024,0.001365291,0.17382555,0.024391022,0,0,0.498824676,0.289477848,0.3647658,0.997766922
TIC 284890361,260.4362824,54.55921378,0.336311625,6001,75.86170088,0.499981297,2.805164533,0.166195088,0.970060724,0.001423414,0.303834162,0.005332671,0,0,0.313859577,0.490947447,2.235768725,0.996836398
TIC 29287800,237.6351428,37.83543148,0.376565683,6125.049804,81.09661034,0.142417817,0.260558153,0.000960972,1.011411808,0.000800888,0.276716383,0.007509402,0,0,0.514411522,0.285690276,0.31777366,0.995898722
TIC 461662516,124.3638845,51.8630392,0.373142904,5887.5,69.79293509,0.103665926,1.301012017,0.123966653,0.985512281,0.001447812,0.195685033,0.009662783,0,0,0.374378555,0.420333577,1.203629954,0.999093639
TIC 193770329,268.1627669,43.824816,0.316270924,5129.350097,90.32328585,2.680368967,0.296111271,0.017662219,0.965590031,0.002646751,0.437165007,0.035531309,0,0,0.513362923,0.306486393,0.302564685,0.991209469
TIC 142587827,167.8704005,73.11527688,0.439141487,5850,86.26089163,0.722515958,0.166991419,0.002352253,1.007095677,0.000873583,0.581943645,0.019144829,0.06977263,0.008308222,0.56194629,0.265774452,0.223034195,0.999646926
TIC 260411041,152.6384705,-43.36006734,0.402867318,6952,81.50335129,0.434007758,0.12288322,0.000975475,0.997240286,0.001638317,0.592961149,0.02362347,0,0,0.583446277,0.241985735,0.165264839,0.99740953
TIC 296657504,141.6710826,-13.75178027,0.449748141,5769,89.45803963,1.007349585,0.283536709,0.001299956,1.002226283,0.000939404,0.208510412,0.011138502,0,0,0.503927229,0.288474199,0.328440309,0.998322285
TIC 100765074,311.4133084,-51.04529154,0.453495674,6395,75.77350464,0.158672774,0.19260225,0.000609575,0.998717066,0.00079889,0.574397612,0.009685162,0,0,0.551660525,0.277299151,0.244339183,0.999317208
